,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
count,3,0.0,42535.0,42535.0,42535.0,42535,42535,42535.0,42535,42535,39909,41423,42535,42531.0,42535,42535,42535,42535,0.0,29242,42535,42522,42535,42535,42535.0,42506.0,42506,42506.0,15609.0,3651.0,42506.0,42506.0,42535.0,42445,42506.0,42535,42535.0,42535.0,42535.0,42535.0,42535.0,42535.0,42535.0,42535.0,42535.0,42452,42535.0,2749,42531,42390.0,0.0,42535.0,42535,0.0,0.0,0.0,42506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42390.0,42506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41170.0,42430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42535,42535,160,160,160,160.0,160.0,160.0
unique,3,,,,,2,394,,7,35,30658,11,5,,3,55,4,1,,28963,14,21264,837,50,,,530,,,,,,,1119,,1,,,,,,,,,,112,,98,137,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,2,63,3,61,,,
top,Loans that do not meet the credit policy,,,,, 36 months, 10.99%,,B,B3,US Army,10+ years,RENT,,Not Verified,Dec-2011,Fully Paid,n,, ,debt_consolidation,Debt Consolidation,100xx,CA,,,Oct-1999,,,,,,,0%,,f,,,,,,,,,,Mar-2013,,Mar-2011,Dec-2018,,,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,Jun-2017,COMPLETE,Oct-2013,,,
freq,1,,,,,31534,970,,12389,2997,139,9369,20181,,18758,2267,34116,42535,,225,19776,2259,649,7429,,,393,,,,,,,1070,,42535,,,,,,,,,,1070,,107,8666,,,,42535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42535,,,,,,,,,,,,,,,42535,42375,18,143,8,,,
mean,,,11089.72258140355,10821.585752909368,10139.938784746271,,,322.62306265427986,,,,,,69136.55642025822,,,,,,,,,,,13.373043140942737,0.15244906601420977,,1.0814237989930833,35.017618040873856,59.175568337441796,9.343951442149343,0.05815649555356891,14297.860914540966,,22.124405966216536,,0.0,0.0,12020.306864913635,11312.846260726523,9675.675936052885,2239.981443752225,1.5168895939963962,103.13268820884952,14.408942788300493,,2613.2456518161284,,,0.0,,1.0,,,,,9.410436173716651e-05,,,,,,,,,,,,,,,,,,,,,,0.0,0.14303862984049312,,,,,,,,,,,,,,,,,,,,,,,,,,0.04522710711683264,2.3568230025925054e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4271.924999999998,49.90237499999999,1.2625
std,,,7410.938390546378,7146.914675006368,7131.598013841042,,,208.9272164905078,,,,,,64096.34971887478,,,,,,,,,,,6.726314901729974,0.5124064850163448,,1.5274548353028774,22.41842687036315,47.145395802730555,4.496273875691256,0.24571314065049304,22018.441009683196,,11.592811337332643,,0.0,0.0,9094.77139823656,9038.565425190416,7105.750304143674,2585.057392950162,7.830063955489348,736.3349375365326,162.2540623361156,,4385.0665345144635,,,0.0,,0.0,,,,,0.009700397922649132,,,,,,,,,,,,,,,,,,,,,,0.0,29.35957941701191,,,,,,,,,,,,,,,,,,,,,,,,,,0.20873741093710038,0.004854712146556689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3119.5027071658556,15.565994766350064,4.142869148292548
min,,,500.0,500.0,0.0,,,15.67,,,,,,1896.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.29,10.69,0.0
25%,,,5200.0,5000.0,4950.0,,,165.52,,,,,,40000.0,,,,,,,,,,,8.2,0.0,,0.0,17.0,0.0,6.0,0.0,3635.0,,13.0,,0.0,0.0,5465.6851893854,4793.115,4400.0,657.1,0.0,0.0,0.0,,211.05,,,0.0,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1842.75,40.0,0.0
50%,,,9700.0,9600.0,8500.0,,,277.69,,,,,,59000.0,,,,,,,,,,,13.47,0.0,,1.0,33.0,85.0,9.0,0.0,8821.0,,20.0,,0.0,0.0,9682.251696228901,8956.08,8000.0,1339.16,0.0,0.0,0.0,,528.36,,,0.0,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3499.35,49.97,0.0
75%,,,15000.0,15000.0,14000.0,,,428.18,,,,,,82500.0,,,,,,,,,,,18.68,0.0,,2.0,51.0,101.0,12.0,0.0,17251.0,,29.0,,0.0,0.0,16427.85006559795,15544.335,13499.994999999999,2803.09,0.0,0.0,0.0,,3170.2200000000003,,,0.0,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5701.1,60.6525,0.0
max,,,35000.0,35000.0,35000.0,,,1305.19,,,,,,6000000.0,,,,,,,,,,,29.99,13.0,,33.0,120.0,129.0,47.0,5.0,1207359.0,,90.0,,0.0,0.0,58886.473428989804,58563.68,35000.02,23886.47,209.000000006491,29623.35,7002.19,,36115.2,,,0.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,6053.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14798.2,92.74,24.0
missing,42535,42538.0,3.0,3.0,3.0,3,3,3.0,3,3,2629,1115,3,7.0,3,3,3,3,42538.0,13296,3,16,3,3,3.0,32.0,32,32.0,26929.0,38887.0,32.0,32.0,3.0,93,32.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,86,3.0,39789,7,148.0,42538.0,3.0,3,42538.0,42538.0,42538.0,32.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,148.0,32.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,1368.0,108.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,3,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,42538.0,3,3,42378,42378,42378,42378.0,42378.0,42378.0
